Name           Population     Area           Hash           
Feondari       49674          243.64         642246429791805064
La Union       39142          877.02         13681650065056832044
Longueuil      79029          104.18         5277670549108995614
Ampeles        38726          512.44         7509522625614016528
Kuhnah         58203          202.36         7318686274322768323
Bograd         45986          782.50         13650540442293455318
Habartov       39269          525.18         13189717235835562768
Lexington      47026          84.57          6866546358590929782
Champagnole    74453          51.67          8278656151073375324
Iz eh          40318          563.94         15851416053518272252
Olenyok        28205          622.66         1169993372894517173
Armenokhorion  90522          477.78         16308455657927617238
Lanta Timur    93280          202.09         7901807333974219133
Vetluzhskiy    64598          588.42         16269620873482657268
Luojiang       73372          166.63         4849320144212594786
